"STATION","NAME","DATE","TMIN"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-03-01","31"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-03-02","21"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-03-03","32"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-03-04","27"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-03-05","23"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-03-06","29"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-03-07","29"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-03-08","26"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-03-09","42"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-03-10","41"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-03-11","44"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-03-12","52"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-03-13","33"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-03-14","31"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-03-15","24"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-03-16","29"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-03-17","34"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-03-18","41"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-03-19","31"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-03-20","33"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-03-21","42"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-03-22","42"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-03-23","43"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-03-24","47"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-03-25","49"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-03-26","52"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-03-27","50"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-03-28","48"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-03-29","45"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-03-30","42"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-03-31","50"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-04-01","38"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-04-02","28"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-04-03","32"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-04-04","45"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-04-05","48"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-04-06","47"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-04-07","51"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-04-08","49"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-04-09","49"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-04-10","51"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-04-11","47"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-04-12","45"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-04-13","44"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-04-14","48"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-04-15","45"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-04-16","41"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-04-17","43"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-04-18","49"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-04-19","52"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-04-20","53"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-04-21","39"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-04-22","36"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-04-23","39"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-04-24","52"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-04-25","49"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-04-26","41"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-04-27","46"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-04-28","52"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-04-29","59"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-04-30","46"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-05-01","42"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-05-02","56"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-05-03","52"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-05-04","52"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-05-05","52"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-05-06","50"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-05-07","49"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-05-08","48"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-05-09","46"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-05-10","47"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-05-11","49"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-05-12","46"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-05-13","50"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-05-14","52"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-05-15","55"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-05-16","59"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-05-17","56"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-05-18","60"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-05-19","65"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-05-20","59"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-05-21","58"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-05-22","65"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-05-23","68"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-05-24","59"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-05-25","58"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-05-26","65"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-05-27","65"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-05-28","49"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-05-29","47"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-05-30","47"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-05-31","49"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-06-01","57"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-06-02","62"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-06-03","60"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-06-04","63"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-06-05","66"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-06-06","76"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-06-07","76"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-06-08","72"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-06-09","72"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-06-10","65"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-06-11","62"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-06-12","62"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-06-13","62"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-06-14","64"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-06-15","66"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-06-16","62"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-06-17","57"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-06-18","63"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-06-19","65"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-06-20","66"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-06-21","75"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-06-22","59"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-06-23","55"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-06-24","61"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-06-25","64"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-06-26","68"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-06-27","73"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-06-28","76"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-06-29","78"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-06-30","73"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-07-01","72"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-07-02","62"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-07-03","59"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-07-04","60"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-07-05","67"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-07-06","71"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-07-07","71"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-07-08","71"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-07-09","70"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-07-10","68"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-07-11","70"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-07-12","72"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-07-13","69"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-07-14","69"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-07-15","74"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-07-16","79"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-07-17","73"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-07-18","72"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-07-19","71"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-07-20","73"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-07-21","70"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-07-22","67"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-07-23","67"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-07-24","67"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-07-25","66"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-07-26","72"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-07-27","73"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-07-28","69"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-07-29","69"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-07-30","67"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-07-31","60"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-08-01","66"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-08-02","63"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-08-03","65"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-08-04","67"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-08-05","69"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-08-06","70"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-08-07","73"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-08-08","66"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-08-09","69"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-08-10","71"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-08-11","73"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-08-12","74"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-08-13","78"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-08-14","76"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-08-15","70"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-08-16","69"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-08-17","73"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-08-18","74"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-08-19","75"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-08-20","75"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-08-21","73"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-08-22","70"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-08-23","71"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-08-24","72"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-08-25","72"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-08-26","78"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-08-27","75"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-08-28","68"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-08-29","67"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-08-30","73"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-08-31","73"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-09-01","63"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-09-02","61"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-09-03","59"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-09-04","61"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-09-05","67"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-09-06","69"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-09-07","65"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-09-08","70"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-09-09","68"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-09-10","63"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-09-11","60"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-09-12","66"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-09-13","67"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-09-14","67"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-09-15","71"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-09-16","71"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-09-17","69"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-09-18","69"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-09-19","64"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-09-20","63"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-09-21","63"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-09-22","72"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-09-23","64"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-09-24","57"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-09-25","57"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-09-26","61"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-09-27","62"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-09-28","61"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-09-29","54"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-09-30","55"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-01","51"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-02","57"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-03","61"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-04","62"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-05","60"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-06","61"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-07","62"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-08","61"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-09","60"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-10","61"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-11","61"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-12","61"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-13","61"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-14","62"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-15","63"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-16","56"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-17","51"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-18","49"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-19","47"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-20","56"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-21","59"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-22","57"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-23","48"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-24","47"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-25","55"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-26","54"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-27","53"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-28","49"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-29","47"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-30","53"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-31","55"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-11-01","50"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-11-02","44"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-11-03","41"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-11-04","39"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-11-05","39"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-11-06","40"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-11-07","40"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-11-08","44"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-11-09","50"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-11-10","49"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-11-11","45"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-11-12","51"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-11-13","40"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-11-14","38"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-11-15","39"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-11-16","36"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-11-17","38"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-11-18","46"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-11-19","39"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-11-20","35"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-11-21","44"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-11-22","35"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-11-23","32"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-11-24","30"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-11-25","39"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-11-26","37"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-11-27","34"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-11-28","33"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-11-29","33"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-11-30","31"
